2022-01-09 21:27:32.196 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:32.859 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:33.379 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:33.628 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:35.964 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:37.971 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:45.408 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:51.069 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:57.493 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:59.388 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:28:01.188 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:28:03.221 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:28:07.740 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:28:21.828 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:23.031 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:24.691 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:27.019 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:27.963 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:28.195 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:28.411 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:30.091 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:32:31.947 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:34:06.720 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:34:06.721 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:34:10.348 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:34:10.349 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:36:24.956 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:36:25.243 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:36:36.323 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:38:00.837 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:43:56.748 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:43:58.978 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:00.258 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:00.706 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:02.275 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:02.298 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:03.082 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:04.410 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:04.602 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:04.690 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:44:06.362 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:55:20.254 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:55:21.648 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:55:22.537 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:58:57.693 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:58:58.592 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:01:01.517 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:02.344 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:02.744 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:02.912 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:04.128 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:04.264 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:04.392 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:04.664 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Must be <1,9> 
2022-01-09 22:01:14.164 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:01:14.520 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:01:14.704 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:01:14.856 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:15.156 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:15.584 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:16.160 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:16.408 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:16.864 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:18.280 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:19.128 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:19.920 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:22.128 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:23.664 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:24.192 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:24.264 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:24.455 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:24.560 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:25.263 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:25.391 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:25.528 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:28.424 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:28.616 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:28.792 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:29.008 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:29.168 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:29.344 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:30.471 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:33.400 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:33.575 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:33.744 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:33.912 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:43.252 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:46.401 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:56.341 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:02:59.233 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:04:22.641 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:04:24.016 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:04:24.720 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:04:24.824 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:04:29.496 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:06:38.475 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:06:38.871 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:06:39.079 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:06:39.247 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:08.098 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:08.768 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:09.767 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:10.503 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:10.863 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:23.267 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:24.759 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:25.927 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:26.200 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:26.200 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:29.463 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:30.200 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:30.200 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:31.751 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:32.783 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:57.714 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:58.103 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:58.104 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:08:59.903 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:03.039 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:05.279 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:05.279 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:23.417 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:25.727 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 22:09:31.655 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
